,CID,sections
179,180,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Agrochemical Information', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Identification', '13 Safety and Hazards', '14 Toxicity', '15 Associated Disorders and Diseases', '16 Literature', '17 Patents', '18 Interactions and Pathways', '19 Biological Test Results', '20 Taxonomy', '21 Classification', '22 Information Sources']"
180,181,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Taxonomy', '10 Classification', '11 Information Sources']"
181,182,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Interactions and Pathways', '7 Classification', '8 Information Sources']"
182,183,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
183,184,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
184,185,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Biological Test Results', '14 Taxonomy', '15 Classification', '16 Information Sources']"
185,186,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Taxonomy', '13 Classification', '14 Information Sources']"
186,187,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Toxicity', '10 Associated Disorders and Diseases', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
187,188,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Information Sources']"
188,189,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Classification', '11 Information Sources']"
189,190,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Toxicity', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
190,191,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
191,192,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Taxonomy', '12 Classification', '13 Information Sources']"
192,193,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Patents', '8 Classification', '9 Information Sources']"
193,194,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Patents', '8 Biological Test Results', '9 Taxonomy', '10 Classification', '11 Information Sources']"
194,195,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Taxonomy', '10 Classification', '11 Information Sources']"
195,196,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
196,197,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Classification', '12 Information Sources']"
197,198,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Patents', '7 Taxonomy', '8 Classification', '9 Information Sources']"
198,199,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Associated Disorders and Diseases', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Biological Test Results', '14 Taxonomy', '15 Classification', '16 Information Sources']"
199,200,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
200,201,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Taxonomy', '8 Information Sources']"
201,202,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Taxonomy', '8 Information Sources']"
202,203,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
203,204,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Identification', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
204,205,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Food Additives and Ingredients', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Literature', '12 Patents', '13 Biological Test Results', '14 Classification', '15 Information Sources']"
205,206,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Use and Manufacturing', '9 Literature', '10 Patents', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
206,207,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Classification', '13 Information Sources']"
207,208,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Taxonomy', '13 Classification', '14 Information Sources']"
208,209,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
209,210,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Chemical Vendors', '7 Information Sources']"
210,211,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Literature', '7 Biological Test Results', '8 Classification', '9 Information Sources']"
211,212,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
212,213,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Taxonomy', '7 Classification', '8 Information Sources']"
213,214,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Classification', '11 Information Sources']"
214,215,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Safety and Hazards', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Taxonomy', '13 Classification', '14 Information Sources']"
215,216,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
216,217,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
217,218,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
218,219,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
219,220,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Toxicity', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Taxonomy', '13 Classification', '14 Information Sources']"
220,221,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Patents', '8 Interactions and Pathways', '9 Taxonomy', '10 Information Sources']"
221,222,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Agrochemical Information', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Identification', '13 Safety and Hazards', '14 Toxicity', '15 Associated Disorders and Diseases', '16 Literature', '17 Patents', '18 Interactions and Pathways', '19 Biological Test Results', '20 Taxonomy', '21 Classification', '22 Information Sources']"
222,223,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Drug and Medication Information', '7 Food Additives and Ingredients', '8 Agrochemical Information', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Taxonomy', '17 Classification', '18 Information Sources']"
223,224,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Literature', '10 Patents', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
224,225,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
225,226,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Patents', '6 Information Sources']"
226,227,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
227,228,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Patents', '7 Taxonomy', '8 Classification', '9 Information Sources']"
228,229,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Literature', '11 Patents', '12 Biological Test Results', '13 Taxonomy', '14 Classification', '15 Information Sources']"
229,230,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Classification', '9 Information Sources']"
230,231,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Toxicity', '8 Literature', '9 Patents', '10 Taxonomy', '11 Classification', '12 Information Sources']"
231,232,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Classification', '16 Information Sources']"
232,233,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Literature', '7 Patents', '8 Interactions and Pathways', '9 Classification', '10 Information Sources']"
233,234,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Agrochemical Information', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Classification', '20 Information Sources']"
234,235,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
235,236,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Literature', '11 Patents', '12 Biological Test Results', '13 Classification', '14 Information Sources']"
236,237,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Identification', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
237,238,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Taxonomy', '12 Classification', '13 Information Sources']"
238,239,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Food Additives and Ingredients', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
239,240,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Food Additives and Ingredients', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Identification', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
240,241,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
241,242,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Associated Disorders and Diseases', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Taxonomy', '14 Classification', '15 Information Sources']"
242,243,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Agrochemical Information', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Identification', '13 Safety and Hazards', '14 Toxicity', '15 Associated Disorders and Diseases', '16 Literature', '17 Patents', '18 Interactions and Pathways', '19 Biological Test Results', '20 Taxonomy', '21 Classification', '22 Information Sources']"
243,244,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
244,245,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Chemical Vendors', '7 Safety and Hazards', '8 Literature', '9 Patents', '10 Classification', '11 Information Sources']"
245,246,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Information Sources']"
246,247,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
247,248,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Associated Disorders and Diseases', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
248,249,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
249,250,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Taxonomy', '9 Classification', '10 Information Sources']"
250,251,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Use and Manufacturing', '7 Literature', '8 Patents', '9 Taxonomy', '10 Classification', '11 Information Sources']"
251,252,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
252,253,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Safety and Hazards', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Taxonomy', '12 Classification', '13 Information Sources']"
253,254,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Safety and Hazards', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Biological Test Results', '13 Classification', '14 Information Sources']"
254,255,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Toxicity', '11 Associated Disorders and Diseases', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Classification', '17 Information Sources']"
255,256,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
256,257,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Classification', '7 Information Sources']"
257,258,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Identification', '10 Safety and Hazards', '11 Toxicity', '12 Literature', '13 Patents', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
258,259,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Use and Manufacturing', '8 Toxicity', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Biological Test Results', '13 Classification', '14 Information Sources']"
259,260,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Identification', '10 Safety and Hazards', '11 Toxicity', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Classification', '18 Information Sources']"
260,261,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
261,262,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
262,263,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
263,264,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
264,265,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Taxonomy', '12 Classification', '13 Information Sources']"
265,266,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
266,267,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
267,268,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Interactions and Pathways', '7 Biological Test Results', '8 Classification', '9 Information Sources']"
268,269,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
269,270,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
270,271,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Drug and Medication Information', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Toxicity', '10 Associated Disorders and Diseases', '11 Literature', '12 Interactions and Pathways', '13 Biological Test Results', '14 Taxonomy', '15 Classification', '16 Information Sources']"
271,272,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
272,273,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Toxicity', '11 Associated Disorders and Diseases', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Taxonomy', '17 Classification', '18 Information Sources']"
273,274,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
274,275,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Literature', '15 Patents', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
275,276,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Associated Disorders and Diseases', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Classification', '11 Information Sources']"
